from,to,capability,direction,notes,source_url,accessed
containers,workers,"Run container workloads as part of Workers applications so Worker code starts, routes, and manages container instances.",uses,"Worker and Wrangler examples show containers controlled from Worker handlers.",https://developers.cloudflare.com/containers/,2025-02-14
containers,durable_objects,"Bind each container class to a Durable Object namespace so instances maintain coordination state.",uses,"Wrangler configuration binds container classes through durable_objects bindings.",https://developers.cloudflare.com/containers/,2025-02-14
workers,d1,"Use the D1 Worker Binding API to run SQL queries directly from Worker code.",uses,"D1 Worker Binding guide outlines binding, preparing statements, and running queries from Workers.",https://developers.cloudflare.com/d1/worker-api/,2025-02-14
workers,r2,"Attach R2 bucket bindings to Workers to read and write objects without external credentials.",uses,"Workers bindings documentation lists R2 and shows env-based bucket access.",https://developers.cloudflare.com/workers/runtime-apis/bindings/,2025-02-14
workers,kv,"Grant Workers KV bindings so scripts call namespace methods through env to fetch and persist values.",uses,"Bindings catalog enumerates KV as a Worker binding for interacting with storage namespaces.",https://developers.cloudflare.com/workers/runtime-apis/bindings/,2025-02-14
workers,durable_objects,"Expose Durable Object bindings to Workers so requests can target per-object coordination handlers.",uses,"Worker bindings list Durable Objects as available integrations on the env object.",https://developers.cloudflare.com/workers/runtime-apis/bindings/,2025-02-14
workers,images,"Bind the Images API to Workers to transform and encode assets before serving or storing them.",uses,"Images binding guide describes connecting a Worker to Images and operating on streams via env.IMAGES.",https://developers.cloudflare.com/images/transform-images/bindings/,2025-02-14
workers,secrets_store,"Connect Workers to Secrets Store bindings so scripts fetch account-level secrets securely at runtime.",uses,"Secrets Store integration walk-through shows binding secrets_store_secrets into a Worker configuration.",https://developers.cloudflare.com/secrets-store/integrations/workers/,2025-02-14
pages,kv,"Bind KV namespaces to Pages Functions so server-side logic reads and writes cached data through context.env.",uses,"Pages bindings guide explains KV namespace bindings and shows usage inside Functions.",https://developers.cloudflare.com/pages/functions/bindings/,2025-02-14
pages,durable_objects,"Attach Durable Object namespaces to Pages Functions to proxy requests through stateful coordination stubs.",uses,"Pages bindings documentation covers configuring Durable Object bindings for Functions.",https://developers.cloudflare.com/pages/functions/bindings/,2025-02-14
pages,r2,"Configure R2 bucket bindings for Pages Functions so handlers retrieve and serve objects directly from storage.",uses,"Pages bindings article details R2 bucket bindings and env-based access.",https://developers.cloudflare.com/pages/functions/bindings/,2025-02-14
pages,d1,"Integrate D1 bindings with Pages Functions to execute SQL from edge-rendered routes.",uses,"Pages bindings overview lists D1 among supported resources for Functions.",https://developers.cloudflare.com/pages/functions/bindings/,2025-02-14
r2_sql,r2,"Create R2 buckets and enable R2 Data Catalog so R2 SQL pipelines ingest data into Iceberg tables stored in R2.",uses,"R2 SQL getting started guide begins with creating an R2 bucket and catalog before querying with R2 SQL.",https://developers.cloudflare.com/r2-sql/get-started/,2025-02-14
